age,annual_income,employment_type,investment_horizon,risk_tolerance_score,financial_goal,dependents,tax_bracket,preferred_liquidity,investment_knowledge,recommended_product,recommended_product_full
22,2488082,Retired,9,5,Child Education,3,>15L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
39,2066184,Salaried,18,9,Child Education,0,>15L,Medium,Intermediate,ELSS,Equity Linked Savings Scheme
48,1062435,Self-employed,23,7,Emergency,0,10–15L,Medium,Expert,ELSS,Equity Linked Savings Scheme
28,546401,Salaried,23,6,Tax Saving,0,5–10L,High,Beginner,NPS,National Pension System
56,532505,Student,5,4,Tax Saving,3,5–10L,High,Intermediate,Combo,Mixed Investment Portfolio
38,2251330,Self-employed,6,6,Emergency,0,>15L,Low,Intermediate,Combo,Mixed Investment Portfolio
42,2296360,Salaried,8,8,Retirement,3,>15L,Medium,Beginner,ELSS,Equity Linked Savings Scheme
53,1660754,Retired,11,3,Tax Saving,3,>15L,Low,Beginner,PPF,Public Provident Fund
28,1587897,Student,12,2,Emergency,2,>15L,High,Expert,NSC,National Savings Certificate
44,798201,Salaried,1,8,Retirement,2,5–10L,Medium,Intermediate,NPS,National Pension System
47,1805670,Retired,22,6,Tax Saving,0,>15L,High,Intermediate,Combo,Mixed Investment Portfolio
34,1681219,Self-employed,17,2,Child Education,2,>15L,Medium,Intermediate,SSY,Sukanya Samriddhi Yojana
42,1217191,Self-employed,17,5,Emergency,1,10–15L,Low,Beginner,PPF,Public Provident Fund
24,1258882,Self-employed,11,4,Tax Saving,1,10–15L,High,Intermediate,Combo,Mixed Investment Portfolio
29,392862,Self-employed,1,8,Child Education,0,<5L,Low,Beginner,SSY,Sukanya Samriddhi Yojana
36,698498,Retired,18,2,Child Education,3,5–10L,High,Beginner,SSY,Sukanya Samriddhi Yojana
23,358054,Self-employed,6,6,Child Education,2,<5L,Low,Expert,SSY,Sukanya Samriddhi Yojana
47,359133,Salaried,12,7,Tax Saving,2,<5L,Low,Expert,ELSS,Equity Linked Savings Scheme
25,796238,Student,19,5,Tax Saving,1,5–10L,Medium,Intermediate,Combo,Mixed Investment Portfolio
26,1115127,Self-employed,24,4,Child Education,2,10–15L,High,Intermediate,SSY,Sukanya Samriddhi Yojana
22,1096784,Salaried,3,10,Child Education,2,10–15L,Medium,Expert,ELSS,Equity Linked Savings Scheme
42,2263692,Salaried,2,10,Retirement,1,>15L,Medium,Expert,NPS,National Pension System
24,1016743,Salaried,20,6,Tax Saving,2,10–15L,High,Beginner,NPS,National Pension System
37,1041892,Self-employed,11,8,Emergency,0,10–15L,Low,Beginner,ELSS,Equity Linked Savings Scheme
41,434928,Salaried,3,7,Tax Saving,0,<5L,Medium,Beginner,ELSS,Equity Linked Savings Scheme
59,1704050,Salaried,4,2,Tax Saving,0,>15L,High,Expert,NPS,National Pension System
27,1342545,Self-employed,19,5,Tax Saving,3,10–15L,Low,Expert,PPF,Public Provident Fund
48,1164465,Self-employed,19,1,Wealth Creation,2,10–15L,Medium,Expert,NSC,National Savings Certificate
31,2179907,Self-employed,10,5,Child Education,1,>15L,Low,Intermediate,PPF,Public Provident Fund
35,754683,Retired,24,4,Wealth Creation,2,5–10L,Medium,Intermediate,Combo,Mixed Investment Portfolio
28,2249961,Retired,10,5,Emergency,2,>15L,Low,Expert,PPF,Public Provident Fund
37,714339,Self-employed,14,7,Emergency,2,5–10L,High,Expert,ELSS,Equity Linked Savings Scheme
59,2427536,Self-employed,19,1,Wealth Creation,3,>15L,Low,Intermediate,PPF,Public Provident Fund
30,334699,Student,3,3,Wealth Creation,3,<5L,Low,Expert,NSC,National Savings Certificate
27,1462161,Retired,15,5,Wealth Creation,0,10–15L,Low,Beginner,PPF,Public Provident Fund
26,1128612,Retired,20,1,Child Education,3,10–15L,Low,Intermediate,PPF,Public Provident Fund
44,1227580,Salaried,16,7,Child Education,0,10–15L,Medium,Beginner,ELSS,Equity Linked Savings Scheme
50,1738448,Self-employed,19,7,Child Education,3,>15L,Medium,Intermediate,ELSS,Equity Linked Savings Scheme
27,334510,Self-employed,1,2,Emergency,2,<5L,Low,Beginner,NSC,National Savings Certificate
34,1535092,Self-employed,1,8,Emergency,0,>15L,Medium,Intermediate,Combo,Mixed Investment Portfolio
22,2347542,Salaried,11,5,Wealth Creation,0,>15L,Medium,Intermediate,NPS,National Pension System
47,1036425,Student,7,2,Tax Saving,1,10–15L,High,Intermediate,NSC,National Savings Certificate
38,1554931,Self-employed,3,10,Retirement,2,>15L,Medium,Intermediate,ELSS,Equity Linked Savings Scheme
40,1054751,Retired,1,3,Emergency,3,10–15L,Low,Expert,NSC,National Savings Certificate
36,739421,Self-employed,13,7,Retirement,1,5–10L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
44,960667,Self-employed,8,6,Wealth Creation,2,5–10L,Medium,Intermediate,Combo,Mixed Investment Portfolio
29,2194431,Self-employed,8,4,Tax Saving,3,>15L,High,Beginner,Combo,Mixed Investment Portfolio
24,1955833,Self-employed,14,10,Emergency,0,>15L,High,Intermediate,ELSS,Equity Linked Savings Scheme
43,372771,Self-employed,24,10,Retirement,2,<5L,High,Expert,ELSS,Equity Linked Savings Scheme
26,964452,Self-employed,22,2,Wealth Creation,2,5–10L,Medium,Beginner,NSC,National Savings Certificate
45,2445059,Self-employed,21,3,Tax Saving,0,>15L,High,Intermediate,NSC,National Savings Certificate
49,1284766,Self-employed,10,5,Child Education,0,10–15L,Low,Beginner,PPF,Public Provident Fund
46,1217266,Self-employed,4,1,Child Education,1,10–15L,Low,Intermediate,SSY,Sukanya Samriddhi Yojana
44,2286138,Student,11,2,Tax Saving,3,>15L,Medium,Beginner,NSC,National Savings Certificate
30,1901572,Salaried,14,5,Wealth Creation,2,>15L,Low,Intermediate,NPS,National Pension System
33,2042429,Self-employed,11,3,Emergency,3,>15L,Medium,Intermediate,NSC,National Savings Certificate
26,378342,Student,21,3,Child Education,3,<5L,Low,Expert,PPF,Public Provident Fund
42,1517746,Salaried,18,4,Child Education,0,>15L,Low,Expert,NPS,National Pension System
32,443128,Student,11,2,Wealth Creation,3,<5L,Medium,Expert,NSC,National Savings Certificate
45,803335,Retired,24,1,Wealth Creation,3,5–10L,Low,Intermediate,PPF,Public Provident Fund
38,1500143,Self-employed,24,1,Tax Saving,3,>15L,High,Beginner,NSC,National Savings Certificate
54,2340696,Self-employed,16,6,Child Education,3,>15L,High,Expert,SSY,Sukanya Samriddhi Yojana
36,479170,Salaried,21,2,Wealth Creation,0,<5L,Low,Intermediate,NPS,National Pension System
34,1818954,Self-employed,22,9,Wealth Creation,3,>15L,Low,Beginner,ELSS,Equity Linked Savings Scheme
47,2315758,Salaried,11,6,Tax Saving,1,>15L,Low,Expert,NPS,National Pension System
49,585151,Self-employed,1,8,Tax Saving,0,5–10L,Low,Beginner,Combo,Mixed Investment Portfolio
36,1344013,Student,11,1,Tax Saving,1,10–15L,Low,Intermediate,PPF,Public Provident Fund
28,2334328,Salaried,8,6,Tax Saving,2,>15L,Medium,Intermediate,NPS,National Pension System
30,1744999,Self-employed,1,6,Tax Saving,1,>15L,Medium,Beginner,Combo,Mixed Investment Portfolio
25,2098354,Salaried,8,3,Emergency,3,>15L,High,Expert,NPS,National Pension System
38,1819226,Self-employed,12,6,Tax Saving,1,>15L,High,Beginner,Combo,Mixed Investment Portfolio
37,1643627,Retired,10,3,Wealth Creation,2,>15L,Medium,Beginner,NSC,National Savings Certificate
39,2025713,Retired,8,8,Emergency,1,>15L,Low,Beginner,ELSS,Equity Linked Savings Scheme
24,1823674,Salaried,12,8,Wealth Creation,0,>15L,High,Beginner,ELSS,Equity Linked Savings Scheme
48,1851610,Retired,14,4,Wealth Creation,2,>15L,Low,Intermediate,PPF,Public Provident Fund
48,369191,Self-employed,7,3,Child Education,1,<5L,Medium,Beginner,SSY,Sukanya Samriddhi Yojana
55,969462,Self-employed,23,6,Child Education,3,5–10L,Low,Expert,PPF,Public Provident Fund
26,2205286,Self-employed,22,1,Tax Saving,0,>15L,Medium,Intermediate,NSC,National Savings Certificate
39,2223696,Student,18,6,Emergency,3,>15L,Low,Expert,PPF,Public Provident Fund
56,1224404,Self-employed,21,4,Child Education,0,10–15L,Low,Beginner,PPF,Public Provident Fund
24,1473279,Self-employed,12,6,Retirement,2,10–15L,Medium,Expert,NPS,National Pension System
58,598470,Student,13,4,Child Education,1,5–10L,Low,Beginner,PPF,Public Provident Fund
31,1914269,Retired,18,1,Emergency,0,>15L,Medium,Intermediate,NSC,National Savings Certificate
54,332235,Self-employed,2,1,Emergency,0,<5L,Medium,Beginner,NSC,National Savings Certificate
24,2061256,Student,23,3,Emergency,2,>15L,High,Intermediate,NSC,National Savings Certificate
47,1090296,Self-employed,18,6,Wealth Creation,0,10–15L,Medium,Expert,Combo,Mixed Investment Portfolio
53,2499002,Self-employed,10,1,Child Education,3,>15L,High,Beginner,SSY,Sukanya Samriddhi Yojana
33,684569,Student,2,1,Tax Saving,1,5–10L,Low,Expert,NSC,National Savings Certificate
30,1089870,Retired,10,6,Child Education,2,10–15L,Low,Expert,PPF,Public Provident Fund
59,452721,Salaried,1,7,Emergency,1,<5L,Medium,Beginner,NPS,National Pension System
55,1953209,Retired,2,9,Child Education,2,>15L,Low,Expert,SSY,Sukanya Samriddhi Yojana
35,1510923,Self-employed,7,5,Emergency,0,>15L,Medium,Beginner,Combo,Mixed Investment Portfolio
53,2204371,Salaried,22,9,Tax Saving,0,>15L,High,Intermediate,ELSS,Equity Linked Savings Scheme
30,552138,Salaried,3,2,Tax Saving,3,5–10L,Medium,Expert,NPS,National Pension System
44,1276955,Salaried,3,4,Emergency,2,10–15L,Medium,Expert,NPS,National Pension System
34,1953816,Retired,4,3,Emergency,2,>15L,High,Beginner,NSC,National Savings Certificate
55,530684,Student,7,3,Wealth Creation,3,5–10L,Medium,Intermediate,NSC,National Savings Certificate
42,1901408,Self-employed,2,9,Tax Saving,2,>15L,High,Beginner,Combo,Mixed Investment Portfolio
24,1908334,Self-employed,23,6,Child Education,1,>15L,Medium,Intermediate,SSY,Sukanya Samriddhi Yojana
29,884352,Salaried,6,3,Tax Saving,3,5–10L,Medium,Beginner,NPS,National Pension System
29,1367190,Student,15,3,Child Education,2,10–15L,Low,Expert,PPF,Public Provident Fund
31,769456,Salaried,13,3,Wealth Creation,0,5–10L,High,Beginner,NPS,National Pension System
32,2260687,Self-employed,22,1,Wealth Creation,3,>15L,Medium,Beginner,NSC,National Savings Certificate
29,2416285,Self-employed,3,5,Wealth Creation,0,>15L,High,Intermediate,Combo,Mixed Investment Portfolio
59,924447,Student,22,1,Child Education,1,5–10L,Low,Beginner,PPF,Public Provident Fund
24,881300,Retired,23,6,Wealth Creation,3,5–10L,High,Beginner,Combo,Mixed Investment Portfolio
52,1111563,Retired,3,2,Emergency,2,10–15L,Medium,Intermediate,NSC,National Savings Certificate
50,1200441,Salaried,6,1,Emergency,2,10–15L,Low,Expert,NPS,National Pension System
54,559806,Salaried,5,2,Retirement,2,5–10L,High,Beginner,NPS,National Pension System
37,2097264,Self-employed,5,8,Wealth Creation,3,>15L,Low,Beginner,ELSS,Equity Linked Savings Scheme
51,1499767,Self-employed,3,8,Child Education,2,10–15L,Low,Beginner,ELSS,Equity Linked Savings Scheme
39,1756036,Self-employed,16,5,Retirement,2,>15L,High,Expert,NPS,National Pension System
47,2184166,Retired,10,6,Child Education,3,>15L,High,Expert,SSY,Sukanya Samriddhi Yojana
25,931884,Self-employed,5,5,Emergency,2,5–10L,Low,Intermediate,Combo,Mixed Investment Portfolio
45,784188,Self-employed,3,5,Child Education,3,5–10L,High,Expert,SSY,Sukanya Samriddhi Yojana
32,2322206,Salaried,5,9,Retirement,1,>15L,Medium,Intermediate,ELSS,Equity Linked Savings Scheme
28,1857711,Student,6,5,Child Education,0,>15L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
40,1138917,Salaried,11,8,Child Education,1,10–15L,Medium,Intermediate,ELSS,Equity Linked Savings Scheme
49,1878698,Retired,19,8,Child Education,3,>15L,Low,Beginner,ELSS,Equity Linked Savings Scheme
41,301495,Salaried,9,3,Tax Saving,2,<5L,Medium,Expert,NPS,National Pension System
28,1857711,Student,6,5,Child Education,0,>15L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
49,1753447,Student,22,2,Child Education,1,>15L,High,Beginner,SSY,Sukanya Samriddhi Yojana
54,450025,Self-employed,18,5,Tax Saving,2,<5L,Low,Intermediate,PPF,Public Provident Fund
54,1315912,Salaried,3,1,Wealth Creation,1,10–15L,Low,Intermediate,NPS,National Pension System
30,611322,Self-employed,24,4,Wealth Creation,3,5–10L,High,Beginner,Combo,Mixed Investment Portfolio
52,1927948,Salaried,11,8,Retirement,0,>15L,Medium,Expert,ELSS,Equity Linked Savings Scheme
45,1629556,Student,18,3,Retirement,2,>15L,Low,Expert,NPS,National Pension System
24,1973298,Salaried,4,8,Child Education,2,>15L,High,Intermediate,ELSS,Equity Linked Savings Scheme
44,1181697,Self-employed,2,9,Child Education,2,10–15L,High,Intermediate,SSY,Sukanya Samriddhi Yojana
43,1380736,Self-employed,21,6,Emergency,2,10–15L,High,Beginner,Combo,Mixed Investment Portfolio
38,2074501,Self-employed,2,7,Wealth Creation,2,>15L,Medium,Intermediate,Combo,Mixed Investment Portfolio
52,318695,Retired,7,4,Child Education,2,<5L,Medium,Intermediate,SSY,Sukanya Samriddhi Yojana
25,451519,Student,24,6,Wealth Creation,0,<5L,Medium,Beginner,Combo,Mixed Investment Portfolio
28,898193,Student,2,4,Retirement,1,5–10L,Low,Intermediate,NPS,National Pension System
47,1878169,Salaried,15,5,Wealth Creation,0,>15L,Low,Beginner,NPS,National Pension System
51,1811223,Retired,3,3,Wealth Creation,3,>15L,High,Expert,NSC,National Savings Certificate
43,875343,Student,4,1,Emergency,0,5–10L,Medium,Beginner,NSC,National Savings Certificate
38,386169,Self-employed,9,4,Wealth Creation,2,<5L,Low,Intermediate,Combo,Mixed Investment Portfolio
45,1302486,Salaried,8,6,Wealth Creation,3,10–15L,High,Beginner,NPS,National Pension System
28,483937,Self-employed,3,3,Tax Saving,0,<5L,Medium,Expert,NSC,National Savings Certificate
24,2486528,Self-employed,11,5,Emergency,1,>15L,Low,Beginner,PPF,Public Provident Fund
55,2478975,Self-employed,18,8,Child Education,2,>15L,High,Beginner,ELSS,Equity Linked Savings Scheme
45,1241056,Student,20,3,Tax Saving,1,10–15L,Low,Intermediate,PPF,Public Provident Fund
57,1466550,Self-employed,16,1,Tax Saving,3,10–15L,Low,Expert,PPF,Public Provident Fund
27,1678090,Retired,8,2,Retirement,3,>15L,Medium,Beginner,NPS,National Pension System
58,2025184,Salaried,17,10,Tax Saving,1,>15L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
46,2478270,Retired,22,4,Wealth Creation,3,>15L,Medium,Beginner,Combo,Mixed Investment Portfolio
59,2437500,Salaried,18,4,Retirement,2,>15L,High,Expert,NPS,National Pension System
53,2427006,Student,1,10,Tax Saving,1,>15L,Medium,Beginner,Combo,Mixed Investment Portfolio
25,1944230,Retired,18,9,Tax Saving,2,>15L,High,Beginner,ELSS,Equity Linked Savings Scheme
47,847664,Retired,21,1,Child Education,2,5–10L,Medium,Intermediate,SSY,Sukanya Samriddhi Yojana
38,1871697,Retired,20,6,Tax Saving,2,>15L,Low,Intermediate,PPF,Public Provident Fund
36,2359838,Self-employed,2,3,Tax Saving,1,>15L,High,Beginner,NSC,National Savings Certificate
46,828382,Retired,2,8,Emergency,3,5–10L,Low,Intermediate,Combo,Mixed Investment Portfolio
39,1430027,Student,18,4,Wealth Creation,0,10–15L,Low,Beginner,PPF,Public Provident Fund
24,1332673,Salaried,13,3,Emergency,3,10–15L,Medium,Expert,NPS,National Pension System
25,735938,Self-employed,21,3,Emergency,3,5–10L,Medium,Expert,NSC,National Savings Certificate
47,2174356,Salaried,24,2,Child Education,1,>15L,Low,Intermediate,NPS,National Pension System
32,1098184,Retired,22,6,Child Education,2,10–15L,High,Expert,SSY,Sukanya Samriddhi Yojana
33,1086686,Self-employed,13,5,Tax Saving,0,10–15L,High,Expert,Combo,Mixed Investment Portfolio
29,1708449,Retired,17,6,Wealth Creation,1,>15L,Low,Expert,PPF,Public Provident Fund
31,1075681,Self-employed,16,10,Wealth Creation,1,10–15L,Medium,Expert,ELSS,Equity Linked Savings Scheme
55,571718,Self-employed,16,6,Child Education,3,5–10L,High,Expert,SSY,Sukanya Samriddhi Yojana
49,1598716,Salaried,4,7,Emergency,3,>15L,High,Beginner,ELSS,Equity Linked Savings Scheme
43,1806164,Self-employed,20,6,Tax Saving,0,>15L,Medium,Expert,Combo,Mixed Investment Portfolio
39,550967,Self-employed,19,4,Wealth Creation,2,5–10L,High,Intermediate,Combo,Mixed Investment Portfolio
30,2418797,Student,18,9,Wealth Creation,1,>15L,Low,Expert,ELSS,Equity Linked Savings Scheme
25,1507289,Retired,5,2,Child Education,0,>15L,High,Intermediate,SSY,Sukanya Samriddhi Yojana
37,791578,Self-employed,22,4,Child Education,0,5–10L,Medium,Intermediate,SSY,Sukanya Samriddhi Yojana
43,2181464,Salaried,9,2,Child Education,0,>15L,Medium,Beginner,NPS,National Pension System
36,1924802,Self-employed,7,3,Retirement,1,>15L,High,Intermediate,NPS,National Pension System
40,1865528,Salaried,19,4,Emergency,0,>15L,Medium,Beginner,NPS,National Pension System
58,1597068,Salaried,24,3,Tax Saving,0,>15L,Medium,Beginner,NPS,National Pension System
49,2363049,Student,21,4,Child Education,0,>15L,Medium,Beginner,SSY,Sukanya Samriddhi Yojana
27,466449,Retired,19,5,Child Education,0,<5L,Medium,Beginner,SSY,Sukanya Samriddhi Yojana
31,403250,Self-employed,12,2,Tax Saving,3,<5L,Medium,Expert,NSC,National Savings Certificate
58,359593,Retired,8,5,Retirement,2,<5L,Medium,Beginner,NPS,National Pension System
33,849247,Retired,19,1,Emergency,1,5–10L,High,Intermediate,NSC,National Savings Certificate
49,1605704,Self-employed,22,9,Tax Saving,3,>15L,Medium,Intermediate,ELSS,Equity Linked Savings Scheme
35,2355320,Salaried,15,3,Wealth Creation,3,>15L,Low,Intermediate,NPS,National Pension System
31,1686252,Self-employed,11,6,Wealth Creation,0,>15L,High,Intermediate,Combo,Mixed Investment Portfolio
31,2061175,Salaried,14,5,Wealth Creation,3,>15L,High,Beginner,NPS,National Pension System
39,1498618,Self-employed,18,2,Tax Saving,1,10–15L,Low,Expert,PPF,Public Provident Fund
43,2061520,Self-employed,4,2,Emergency,3,>15L,Medium,Beginner,NSC,National Savings Certificate
30,1445272,Self-employed,22,2,Wealth Creation,2,10–15L,Low,Intermediate,PPF,Public Provident Fund
55,1733487,Retired,6,5,Wealth Creation,1,>15L,Medium,Expert,Combo,Mixed Investment Portfolio
34,425183,Self-employed,9,4,Wealth Creation,0,<5L,Low,Expert,Combo,Mixed Investment Portfolio
57,2454478,Self-employed,6,4,Retirement,2,>15L,High,Beginner,NPS,National Pension System
35,1209878,Salaried,24,1,Child Education,0,10–15L,High,Expert,NPS,National Pension System
33,2470373,Self-employed,9,4,Child Education,3,>15L,Low,Intermediate,SSY,Sukanya Samriddhi Yojana
57,1859191,Self-employed,10,3,Tax Saving,3,>15L,High,Expert,NSC,National Savings Certificate
58,361086,Salaried,4,4,Tax Saving,1,<5L,Low,Beginner,NPS,National Pension System
43,1518851,Self-employed,17,1,Child Education,0,>15L,Low,Beginner,PPF,Public Provident Fund
39,706885,Self-employed,13,5,Child Education,3,5–10L,High,Beginner,SSY,Sukanya Samriddhi Yojana
50,1032084,Salaried,8,7,Retirement,3,10–15L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
52,1055870,Student,8,6,Emergency,2,10–15L,Low,Intermediate,Combo,Mixed Investment Portfolio
36,494886,Self-employed,24,6,Emergency,2,<5L,Low,Expert,PPF,Public Provident Fund
56,2498079,Self-employed,11,4,Emergency,3,>15L,High,Beginner,Combo,Mixed Investment Portfolio
28,1645790,Self-employed,19,4,Tax Saving,2,>15L,Low,Expert,PPF,Public Provident Fund
54,1342867,Self-employed,24,6,Child Education,2,10–15L,Medium,Intermediate,SSY,Sukanya Samriddhi Yojana
53,1738447,Student,9,6,Emergency,1,>15L,High,Beginner,Combo,Mixed Investment Portfolio
57,639460,Retired,6,6,Tax Saving,3,5–10L,High,Intermediate,Combo,Mixed Investment Portfolio
59,1101859,Retired,18,4,Wealth Creation,0,10–15L,High,Intermediate,Combo,Mixed Investment Portfolio
28,2280285,Self-employed,18,3,Emergency,1,>15L,Low,Beginner,PPF,Public Provident Fund
54,447052,Salaried,13,9,Tax Saving,3,<5L,High,Expert,ELSS,Equity Linked Savings Scheme
50,1953851,Self-employed,14,1,Wealth Creation,0,>15L,Low,Beginner,PPF,Public Provident Fund
56,1021970,Self-employed,21,2,Emergency,3,10–15L,Low,Intermediate,PPF,Public Provident Fund
54,1204711,Retired,12,6,Wealth Creation,3,10–15L,Medium,Expert,Combo,Mixed Investment Portfolio
43,469563,Salaried,8,8,Emergency,3,<5L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
27,2061486,Self-employed,7,5,Child Education,1,>15L,High,Beginner,SSY,Sukanya Samriddhi Yojana
34,1880453,Self-employed,4,2,Retirement,2,>15L,Medium,Intermediate,NPS,National Pension System
33,452550,Self-employed,6,4,Emergency,0,<5L,Medium,Beginner,Combo,Mixed Investment Portfolio
50,1686007,Salaried,7,6,Emergency,0,>15L,Low,Beginner,NPS,National Pension System
44,2243955,Self-employed,18,5,Child Education,1,>15L,High,Expert,SSY,Sukanya Samriddhi Yojana
27,905134,Self-employed,12,5,Tax Saving,0,5–10L,High,Beginner,Combo,Mixed Investment Portfolio
40,2405490,Retired,3,9,Child Education,1,>15L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
27,1598559,Student,6,4,Child Education,2,>15L,Low,Intermediate,SSY,Sukanya Samriddhi Yojana
23,744108,Salaried,17,4,Wealth Creation,2,5–10L,High,Intermediate,NPS,National Pension System
26,928292,Student,4,3,Child Education,1,5–10L,High,Expert,SSY,Sukanya Samriddhi Yojana
33,1547315,Self-employed,7,4,Child Education,0,>15L,Low,Expert,SSY,Sukanya Samriddhi Yojana
25,1462146,Self-employed,18,1,Child Education,1,10–15L,High,Expert,SSY,Sukanya Samriddhi Yojana
34,1575285,Retired,21,1,Emergency,3,>15L,Medium,Intermediate,NSC,National Savings Certificate
42,669135,Self-employed,2,1,Child Education,1,5–10L,Low,Expert,SSY,Sukanya Samriddhi Yojana
49,1823975,Self-employed,18,8,Child Education,2,>15L,High,Expert,ELSS,Equity Linked Savings Scheme
41,771426,Salaried,16,8,Tax Saving,0,5–10L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
51,399345,Salaried,9,10,Wealth Creation,0,<5L,High,Beginner,ELSS,Equity Linked Savings Scheme
56,342491,Student,20,3,Wealth Creation,0,<5L,Medium,Intermediate,NSC,National Savings Certificate
26,380882,Self-employed,16,10,Retirement,1,<5L,Medium,Intermediate,ELSS,Equity Linked Savings Scheme
27,378027,Retired,19,5,Wealth Creation,2,<5L,Low,Expert,PPF,Public Provident Fund
36,387941,Self-employed,17,4,Wealth Creation,1,<5L,High,Beginner,Combo,Mixed Investment Portfolio
53,358175,Salaried,22,5,Retirement,1,<5L,High,Beginner,NPS,National Pension System
55,1787924,Self-employed,15,3,Child Education,1,>15L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
58,1381905,Self-employed,15,4,Retirement,3,10–15L,High,Expert,NPS,National Pension System
42,2282451,Self-employed,4,2,Emergency,1,>15L,Medium,Expert,NSC,National Savings Certificate
28,603350,Salaried,18,10,Retirement,0,5–10L,High,Beginner,ELSS,Equity Linked Savings Scheme
49,1278999,Self-employed,21,2,Tax Saving,2,10–15L,Medium,Intermediate,NSC,National Savings Certificate
24,1241144,Salaried,15,7,Tax Saving,0,10–15L,Low,Expert,ELSS,Equity Linked Savings Scheme
57,2394616,Retired,21,3,Wealth Creation,2,>15L,Low,Beginner,PPF,Public Provident Fund
26,739643,Salaried,23,9,Child Education,0,5–10L,High,Expert,ELSS,Equity Linked Savings Scheme
47,2217573,Self-employed,11,9,Tax Saving,0,>15L,Medium,Expert,ELSS,Equity Linked Savings Scheme
42,1502090,Self-employed,8,5,Wealth Creation,0,>15L,Low,Intermediate,Combo,Mixed Investment Portfolio
23,1766811,Retired,11,7,Wealth Creation,1,>15L,Medium,Intermediate,ELSS,Equity Linked Savings Scheme
49,1447332,Self-employed,3,5,Emergency,3,10–15L,High,Intermediate,Combo,Mixed Investment Portfolio
43,1435510,Self-employed,22,5,Tax Saving,2,10–15L,Low,Expert,PPF,Public Provident Fund
40,2390204,Self-employed,23,6,Child Education,1,>15L,Medium,Intermediate,SSY,Sukanya Samriddhi Yojana
59,1332806,Retired,13,3,Tax Saving,3,10–15L,Low,Beginner,PPF,Public Provident Fund
29,489923,Salaried,3,4,Emergency,2,<5L,Medium,Intermediate,NPS,National Pension System
54,2433283,Self-employed,15,9,Tax Saving,3,>15L,Medium,Beginner,ELSS,Equity Linked Savings Scheme
31,564065,Student,12,9,Tax Saving,2,5–10L,Low,Beginner,ELSS,Equity Linked Savings Scheme
31,331611,Retired,15,4,Tax Saving,3,<5L,Medium,Intermediate,Combo,Mixed Investment Portfolio
25,2050559,Retired,15,2,Tax Saving,3,>15L,Medium,Beginner,NSC,National Savings Certificate
32,443128,Student,11,2,Wealth Creation,3,<5L,Medium,Expert,NSC,National Savings Certificate
29,2372454,Self-employed,18,2,Wealth Creation,3,>15L,High,Beginner,NSC,National Savings Certificate
38,522316,Self-employed,10,4,Child Education,2,5–10L,Low,Expert,PPF,Public Provident Fund
57,370185,Student,5,2,Wealth Creation,3,<5L,High,Expert,NSC,National Savings Certificate
26,1876546,Self-employed,15,1,Child Education,0,>15L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
31,713851,Retired,13,3,Child Education,0,5–10L,High,Beginner,SSY,Sukanya Samriddhi Yojana
31,747905,Salaried,4,8,Emergency,2,5–10L,Low,Expert,ELSS,Equity Linked Savings Scheme
38,2074293,Self-employed,9,8,Emergency,3,>15L,High,Beginner,ELSS,Equity Linked Savings Scheme
40,1021351,Self-employed,20,1,Emergency,3,10–15L,Low,Intermediate,PPF,Public Provident Fund
56,591162,Salaried,16,5,Emergency,2,5–10L,Medium,Beginner,NPS,National Pension System
59,1563621,Self-employed,17,10,Tax Saving,3,>15L,Medium,Beginner,ELSS,Equity Linked Savings Scheme
27,419937,Self-employed,21,3,Tax Saving,1,<5L,High,Expert,NSC,National Savings Certificate
44,834979,Self-employed,11,9,Emergency,2,5–10L,High,Expert,ELSS,Equity Linked Savings Scheme
50,604608,Salaried,7,10,Retirement,0,5–10L,Low,Beginner,ELSS,Equity Linked Savings Scheme
49,306220,Self-employed,11,2,Wealth Creation,0,<5L,High,Expert,NSC,National Savings Certificate
48,1122343,Salaried,13,3,Emergency,1,10–15L,Medium,Beginner,NPS,National Pension System
30,930004,Self-employed,16,1,Child Education,0,5–10L,High,Intermediate,SSY,Sukanya Samriddhi Yojana
30,2366463,Self-employed,1,6,Emergency,1,>15L,Medium,Beginner,Combo,Mixed Investment Portfolio
37,713059,Self-employed,14,9,Tax Saving,3,5–10L,Low,Expert,ELSS,Equity Linked Savings Scheme
33,1156306,Self-employed,7,1,Child Education,1,10–15L,High,Beginner,SSY,Sukanya Samriddhi Yojana
22,1618146,Self-employed,13,6,Tax Saving,2,>15L,Low,Expert,PPF,Public Provident Fund
30,1363906,Student,2,6,Wealth Creation,2,10–15L,Medium,Intermediate,Combo,Mixed Investment Portfolio
22,326611,Retired,12,4,Child Education,2,<5L,High,Beginner,SSY,Sukanya Samriddhi Yojana
24,2052362,Retired,5,1,Emergency,1,>15L,Medium,Beginner,NSC,National Savings Certificate
